state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
Alabama,01001,Autauga County,19838,7503,27770,12335,0.714368023046453,0.27018365142239825,0.4441843716240547
Alabama,01003,Baldwin County,83544,24578,109679,58966,0.7617137282433283,0.22409029987509005,0.5376234283682382
Alabama,01005,Barbour County,5622,4816,10518,806,0.5345122646891044,0.45788172656398557,0.07663053812511883
Alabama,01007,Bibb County,7525,1986,9595,5539,0.7842626367899947,0.20698280354351226,0.5772798332464825
Alabama,01009,Blount County,24711,2640,27588,22071,0.8957155284906481,0.09569377990430622,0.8000217485863419
Alabama,01011,Bullock County,1146,3446,4613,-2300,0.24842835464990246,0.7470192933015392,-0.49859093865163673
Alabama,01013,Butler County,5458,3965,9488,1493,0.5752529510961214,0.4178962900505902,0.1573566610455312
Alabama,01015,Calhoun County,35101,15216,50983,19885,0.6884843967597042,0.29845242531824334,0.39003197144146085
Alabama,01017,Chambers County,8753,6365,15284,2388,0.5726903951845067,0.41644857367181365,0.15624182151269306
Alabama,01019,Cherokee County,10583,1624,12301,8959,0.8603365580034144,0.13202178684659785,0.7283147711568165
Alabama,01021,Chilton County,16085,3073,19310,13012,0.8329880890730191,0.1591403417918177,0.6738477472812014
Alabama,01023,Choctaw County,4296,3127,7464,1169,0.5755627009646302,0.41894426580921756,0.15661843515541268
Alabama,01025,Clarke County,7324,5755,13135,1569,0.5575942139322421,0.4381423677198325,0.11945184621240956
Alabama,01027,Clay County,5601,1267,6930,4334,0.8082251082251082,0.18282828282828284,0.6253968253968254
Alabama,01029,Cleburne County,6484,675,7227,5809,0.8971910889719109,0.09339975093399751,0.8037913380379134
Alabama,01031,Coffee County,16899,5076,22275,11823,0.7586531986531987,0.22787878787878788,0.5307744107744108
Alabama,01033,Colbert County,19203,8343,27886,10860,0.688625116545937,0.2991823854263788,0.38944273111955824
Alabama,01035,Conecuh County,3442,2966,6441,476,0.5343890700201832,0.46048750194069243,0.07390156807949078
Alabama,01037,Coosa County,3631,1796,5479,1835,0.6627121737543348,0.3277970432560686,0.33491513049826616
Alabama,01039,Covington County,14586,2721,17430,11865,0.8368330464716007,0.15611015490533564,0.6807228915662651
Alabama,01041,Crenshaw County,4864,1700,6617,3164,0.7350763185733716,0.2569140093698051,0.47816230920356656
Alabama,01043,Cullman County,36880,4478,41851,32402,0.8812214761893383,0.10699863802537574,0.7742228381639626
Alabama,01045,Dale County,14303,5170,19738,9133,0.724642820954504,0.2619313000303982,0.46271152092410583
Alabama,01047,Dallas County,5524,12230,17864,-6706,0.30922525750111957,0.6846171070309002,-0.3753918495297806
Alabama,01049,DeKalb County,24767,4281,29356,20486,0.8436776127537812,0.14583049461779535,0.6978471181359858
Alabama,01051,Elmore County,30164,10367,41030,19797,0.7351693882524982,0.2526687789422374,0.48250060931026084
Alabama,01053,Escambia County,10869,4918,15910,5951,0.6831552482715273,0.3091137649277184,0.3740414833438089
Alabama,01055,Etowah County,35528,11567,47728,23961,0.7443848474689909,0.2423524974857526,0.5020323499832383
Alabama,01057,Fayette County,7300,1395,8766,5905,0.8327629477526808,0.1591375770020534,0.6736253707506275
Alabama,01059,Franklin County,10376,2086,12578,8290,0.8249324216886628,0.16584512641119414,0.6590872952774687
Alabama,01061,Geneva County,10848,1595,12545,9253,0.8647269828616979,0.12714228776404943,0.7375846950976485
Alabama,01063,Greene County,875,3884,4775,-3009,0.18324607329842932,0.8134031413612566,-0.6301570680628272
Alabama,01065,Hale County,3190,4687,7922,-1497,0.40267609189598585,0.5916435243625348,-0.1889674324665489
Alabama,01067,Henry County,6607,2606,9298,4001,0.7105829210582921,0.2802753280275328,0.43030759303075933
Alabama,01069,Houston County,32618,12917,46173,19701,0.7064301648149351,0.27975223615532885,0.4266779286596063
Alabama,01071,Jackson County,19670,3717,23636,15953,0.8322051108478592,0.15726011169402607,0.6749449991538331
Alabama,01073,Jefferson County,138843,181688,325848,-42845,0.426097444207115,0.5575851317178562,-0.1314876875107412
Alabama,01075,Lamar County,6174,978,7193,5196,0.858334491867093,0.13596552203531212,0.7223689698317809
Alabama,01077,Lauderdale County,31721,11915,44339,19806,0.7154198335551095,0.26872505018155574,0.4466947833735538
Alabama,01079,Lawrence County,12322,3562,16031,8760,0.7686357681991142,0.22219449815981535,0.5464412700392989
Alabama,01081,Lee County,42221,27860,71449,14361,0.590924995451301,0.38992848045459,0.20099651499671095
Alabama,01083,Limestone County,34640,13672,49235,20968,0.7035645374225652,0.27768863613283234,0.42587590128973285
Alabama,01085,Lowndes County,1836,4972,6835,-3136,0.2686174103877103,0.7274323335771763,-0.458814923189466
Alabama,01087,Macon County,1541,7108,8723,-5567,0.1766594061676029,0.8148572738736674,-0.6381978677060645
Alabama,01089,Madison County,102780,87286,194767,15494,0.5277074658438031,0.4481560017867503,0.07955146405705282
Alabama,01091,Marengo County,5343,5488,10900,-145,0.4901834862385321,0.50348623853211,-0.013302752293577969
Alabama,01093,Marion County,12205,1463,13807,10742,0.8839718983124502,0.10596074454986601,0.7780111537625841
Alabama,01095,Marshall County,33191,5943,39655,27248,0.8369940738872778,0.1498676081200353,0.6871264657672425
Alabama,01097,Mobile County,101243,79474,183164,21769,0.5527450809110961,0.43389530693804457,0.11884977397305152
Alabama,01099,Monroe County,6147,4455,10668,1692,0.5762092238470191,0.4176040494938133,0.1586051743532058
Alabama,01101,Montgomery County,33311,64529,99139,-31218,0.3360029857069367,0.6508941990538537,-0.314891213346917
Alabama,01103,Morgan County,39664,13234,53722,26430,0.7383194966680318,0.24634228062990954,0.4919772160381222
Alabama,01105,Perry County,1339,3860,5230,-2521,0.2560229445506692,0.7380497131931166,-0.4820267686424474
Alabama,01107,Pickens County,5594,4022,9668,1572,0.5786098469176665,0.41601158460901944,0.16259826230864705
Alabama,01109,Pike County,8042,5636,13841,2406,0.5810273824145654,0.40719601184885484,0.17383137056571057
Alabama,01111,Randolph County,8559,2203,10837,6356,0.7897942234935867,0.20328504198578942,0.5865091815077973
Alabama,01113,Russell County,9864,11228,21329,-1364,0.46246893900323505,0.5264194289465047,-0.06395048994326968
Alabama,01115,St. Clair County,36166,7744,44441,28422,0.8137980693503747,0.1742535046466101,0.6395445647037645
